id,text,emotion
974,"We've noticed a suspicious login attempt from an unrecognized device. Was this you? If not, your account may be compromised. Click here to verify your identity and protect your account now.",fear
975,Our systems have detected unusual activity on your account involving your payment information. It's possible that your financial data has been compromised. Click here immediately to review and secure your account.,fear
976,Be advised that we've identified an attempt to phish your email. Hackers may be trying to steal your personal information. Do not click on any links or respond to suspicious emails. Click here to learn how to protect yourself.,fear
978,Discover the secrets of your account with hidden features you've never seen before. Unlock these exclusive features now by clicking here. What will you discover?,curiosity
979,"Ever wondered how secure your data really is? Click here to take our quick security quiz and find out. Plus, learn tips and tricks for keeping your information safe.",curiosity
980,We've added some exciting new features to your dashboard. Can you find them all? Click here to explore what's new and improve your experience.,curiosity
981,We've made a change to your account. Can you spot what's different? Click here to see if you're right and discover what's new.,curiosity
983,This is your chance! An exclusive offer just for our valued users – but it's disappearing fast. Click here to claim your offer before it's too late!,curiosity
986,Get ready for an exciting opportunity! You're invited to early access of our newest update. Click here to be among the first to explore. Don't miss out!,curiosity
988,"We noticed a discrepancy in your account information that needs verification. It's a bit confusing, but clicking here will guide you through resolving it. Help us help you.",confusion
989,There's been some unusual activity on your account that doesn't quite add up. Was this you? Click here to clear up this confusion and ensure your account's security.,confusion
991,Our system has sent out some conflicting alerts regarding your account. We understand this is confusing. Click here to get to the bottom of this and ensure your account's integrity.,confusion
992,It appears there have been changes to your account that weren't authorized by you. This situation is perplexing. Click here to review these changes and revert them if necessary.,confusion
998,This is your last warning. Your account will be suspended due to suspicious activity. Click immediately to prevent this.,fear
999,Your account security is compromised. Immediate action is required to protect your personal information. Click here now.,fear
1000,We've detected potential fraud on your account. Confirm your identity within the next 24 hours or face account closure.,fear
1001,ALERT: Your account is at high risk of hacking. Secure your personal data now by clicking here. Do not ignore!,fear
1002,We've noticed unusual sign-in activity. Verify your account by clicking here to avoid being locked out.,fear
1005,We've hidden a surprise in your account just for you. Open your account now to discover what it is. Excited yet?,curiosity
1006,We've quietly rolled out a new feature in your account. Have you noticed it yet? Click here to see if you're right!,curiosity
1007,There's a hidden message in your account waiting just for you. Click here to unlock it. What could it say?,curiosity
1014,"There seems to be an error with your account verification. We're confused, are you? Click here for assistance.",confusion
1015,We've received conflicting information regarding your account. Help us clarify by clicking here. Your assistance is crucial.,confusion
1026,"Watching you tackle challenges with such grace and intelligence has filled me with admiration. Keep up the great work! Cheers, [Your Name]",joy
1027,"The way you handled that situation was remarkable. I have so much respect and admiration for your approach. Best wishes, [Your Name]",joy
1028,"I am writing to express my frustration with the recent decision made. It has caused a lot of inconveniences and needs to be addressed immediately. Sincerely, [Your Name]",sadness
1029,"It's upsetting how this situation was handled. We expect better and demand a reevaluation of the decision. Regards, [Your Name]",sadness
1030,"I'm incredibly disappointed and angered by the lack of attention to detail in this project. This is unacceptable and requires immediate action. Best, [Your Name]",sadness
1033,"I'm reaching out because there seems to be a misunderstanding regarding the recent instructions. Could we clarify this? Thanks, [Your Name]",confusion
1035,"I find myself confused by the changes made without prior discussion. Can we review this together? Regards, [Your Name]",confusion
1038,"I am thrilled to share that we've achieved our quarterly goals ahead of schedule! This is a moment of great joy and pride for us. Cheers, [Your Name]",joy
1039,"Just wanted to say how happy I am with the progress we're making. Every step forward is a reason to celebrate! Best, [Your Name]",joy
1040,"Your latest achievement has filled me with such joy. Congratulations on this well-deserved success! Warm regards, [Your Name]",joy
1041,"Seeing our team come together and deliver exceptional results has been a true joy. Thank you for your hard work and dedication. Regards, [Your Name]",joy
1043,"It's with a heavy heart that I write to you about the passing of [Person]. Their presence will be deeply missed. Sincerely, [Your Name]",sadness
1044,"I'm saddened to hear about your recent loss. Please know that my thoughts are with you during this difficult time. Regards, [Your Name]",sadness
1045,"The news of the project's cancellation has left us all feeling quite downcast. Let's discuss how we can move forward. Best, [Your Name]",sadness
1046,"I regret to inform you that I won't be able to continue with our planned collaboration. This decision wasn't easy and brings me great sadness. Regards, [Your Name]",sadness
1047,"Despite our best efforts, we were not able to meet our targets this time. This is disappointing, but let's use it as a learning opportunity. Sincerely, [Your Name]",sadness
1049,Urgent: Limited-time discount on designer brands! Shop now before they're gone: [suspicious link],curiosity
1053,Unusual activity detected on your account.Please confirm login details IMMEDIATELY: [suspicious link],fear
1054,We have sensitive photos of you. Pay [amount] in Bitcoin or they will be released.,fear
1055,Your payment has failed. Avoid late .fees and service interruption Update details here: [suspicious link],anger
1056,Your personal data may be compromised. Click to run a security scan: [suspicious link],fear
1057,"Did you try to log in from [unusual location]? If not, secure your account NOW: [suspicious link]",fear
1059,Shocking video of you is trending online. Click to remove immediately: [suspicious link],fear
1074,We've noticed some unusual activity on your account including access from an unrecognized device. It appears there's been a breach involving personal content. Immediate verification required to secure your account and prevent any embarrassing leaks. Click here to verify your identity.,fear
1076,"As a token of our appreciation for your continued support, we're offering you an exclusive gift card worth $500! To redeem this special offer, please update your payment information through the link provided. Thank you for being a valued customer!",joy
1078,"Dear user, we've detected unusual activity on your account that suggests potential intrusion. Your privacy may be at risk if immediate action is not taken. Please log in immediately using the link below to secure your information and review recent activities: [secure link] Failure to do so within 24 hours could result in irreversible damage.",fear
1079,"We've noticed a series of unauthorized login attempts from an unknown location, indicating that someone may have gained access to your account without permission. Click here to change your password and secure your personal data: [secure link] Neglecting this warning might expose sensitive information to malicious parties.",fear
1080,"Our systems detected suspicious activity on your account involving unusual transactions. It's possible that your financial details are compromised. To prevent further losses, we urge you to review your payment history and secure your account by clicking here: [secure link]. Delaying action could lead to irreparable damage.",fear
1082,"Your account has been flagged for unusual activity that could potentially expose your private data. To ensure the safety of your information, we strongly recommend securing your account immediately through this secure link: [secure link]. Delaying action might result in identity theft or unauthorized access to sensitive files.",fear
1083,This is a final warning regarding suspicious activities detected on your account that could lead to its suspension if not addressed promptly. Take immediate steps by clicking here: [secure link] to prevent any further complications and secure your personal data. Ignoring this message might result in irreversible loss of information or access restrictions.,fear
1084,"Your account's security has been compromised, demanding urgent action to protect your confidential details from falling into the wrong hands. Failure to verify your identity within 24 hours by clicking here: [secure link] may lead to data theft or unauthorized use of your personal information.",fear
1085,We've detected potential fraud on your account that requires immediate confirmation of your identity before irreversible damage occurs. Click the following secure link within the next 24 hours to prevent any further complications and protect your sensitive data: [secure link],fear
1086,"ALERT: Your account is at high risk for hacking due to recent suspicious activities. Secure your personal information now by clicking this secure link: [secure link]. Do not ignore this warning, as it could lead to severe consequences like identity theft or financial loss.",fear
1087,"We've noticed an attempt to lock you out of your account without authorization. To avoid any inconvenience, please confirm your login details immediately by clicking here: [suspicious link]. Failure to do so may result in permanent account suspension and potential data theft.",fear
1088,A world of discovery awaits within your email account! Unlock new features and personalized insights by clicking this link - what will pique your curiosity today?,curiosity
1089,"Your inbox holds secrets that are waiting for you to uncover them. Click here to explore hidden gems tailored just for you, and embark on a journey of intrigue.",curiosity
1090,Discover the depths of your email account with exclusive content curated specially for you! Dive into a sea of surprises by clicking this link - how far down will your curiosity take you?,curiosity
1091,"A hidden treasure lies within your inbox, waiting to be uncovered by your curious mind. Unlock it now and let the adventure begin!",curiosity
1092,Your email account is like a Pandora's box full of fascinating content and intriguing surprises. Click here to open it up and see what delights await you inside - how will you react?,curiosity
1093,"A world of possibilities lies hidden within your inbox, waiting for your curious eyes to unveil them. Take the plunge into a sea of discovery by clicking this link!",curiosity
1094,Your email account is more than just messages; it's a treasure trove filled with secrets and surprises designed to spark your curiosity. Click here to discover what lies beneath - you won't be disappointed!,curiosity
1095,"The hidden depths of your inbox are calling out to your curious soul, begging for exploration. Take the first step into this world by clicking here - who knows what wonders await?",curiosity
1096,"A realm of intrigue and fascination is waiting within your email account. Click here to embark on a journey through uncharted territories filled with surprises, tailored just for you!",curiosity
1097,Your inbox holds the key to unlocking new worlds full of curiosity-inducing content - all you need to do is click this link and let your imagination run wild!,curiosity
1104,Are you ready to embark on an extraordinary adventure? We are delighted to invite you to join us in exploring uncharted territory. This limited-time offer awaits – click here to claim it and let the journey begin!,curiosity
1106,"You did it again – your dedication deserves recognition and reward! A limited-time offer is waiting in your account, but act quickly before the clock runs out. Click here to unveil your surprise!",joy
1109,"Hello [Recipient], I hope this email finds you well. We've detected some unusual activity on your account that we can't quite understand. Clicking here will guide you through resolving any confusion and ensuring the security of your account. Warm wishes, [Your Name]",confusion
1110,"Dear [Recipient], Greetings! I hope this message finds you in good health. We noticed a strange message in your account that is making us both feel perplexed. Clicking here will help you review and take necessary actions to maintain the integrity of your account. Best regards, [Your Name]",confusion
