Quarter,Phishing_Attacks_Detected
2013-Q3,143353
2013-Q4,111773
2014-Q1,125215
2014-Q2,128378
2014-Q3,95424
2014-Q4,46824
2015-Q1,136347
2015-Q2,253007
2015-Q3,241140
2015-Q4,123555
2016-Q1,123972
2016-Q2,466065
2016-Q3,214821
2016-Q4,195475
2017-Q1,269770
2017-Q2,220501
2017-Q3,235101
2017-Q4,180577
2018-Q1,263538
2018-Q2,233040
2018-Q3,151014
2018-Q4,138328
2019-Q1,180768
2019-Q2,182465
2019-Q3,151014
2019-Q4,162155
2020-Q1,165772
2020-Q2,266387
2020-Q3,219203
2020-Q4,245771
2021-Q1,245771
2021-Q2,281900
2021-Q3,299646
2021-Q4,316747
2022-Q1,1025968
2022-Q2,1097811
2022-Q3,1270883
2022-Q4,888585
2023-Q1,1624144
2023-Q2,1286208
2023-Q3,999956
2023-Q4,1077501
2024-Q1,963994
2024-Q2,877536
2024-Q3,932923
2024-Q4,989123
2025-Q1,1003924
2025-Q2,1130393
